Article Title,Reprint Addresses,Funding Orgs,"Times Cited, WoS Core","Times Cited, All Databases",Publication Date,Publication Year,DOI,
3D-Mesoporous Carbon Infiltrated with Sulfur for High-Rate Stable Lithium-Sulfur Batteries,"Zhou, XZ (corresponding author), Northwest Normal Univ, Key Lab Ecoenvironm Related Polymer Mat, Minist Educ, Key Lab Polymer Mat Gansu Prov,Coll Chem & Chem E, 967 Anning East Rd, Lanzhou 730070, Gansu, Peoples R China.","National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [51462032, 21164012]; Fundamental Research Funds for universities in Gansu province; program for Changjiang Scholars and Innovative Research Team in UniversityProgram for Changjiang Scholars & Innovative Research Team in University (PCSIRT) [IRT15R56]",4,5,MAY 15,2017,10.1002/slct.201700407,
Improved measurements of branching fractions for eta(c) -> phi phi and omega phi,"Ablikim, M (corresponding author), Inst High Energy Phys, Beijing 100049, Peoples R China.","National Key Basic Research Program of ChinaNational Basic Research Program of China [2015CB856700]; National Natural Science Foundation of China (NSFC)National Natural Science Foundation of China (NSFC) [11505034, 11375205, 11565006, 11647309, 11125525, 11235011, 11322544, 11335008, 11425524, 11305090]; Chinese Academy of Sciences (CAS) Large-Scale Scientific Facility ProgramChinese Academy of Sciences; CAS Center for Excellence in Particle Physics (CCEPP); Collaborative Innovation Center for Particles and Interactions (CICPI); Joint Large-Scale Scientific Facility Funds of the NSFC; CASChinese Academy of Sciences [11179007, U1232201, U1332201, KJCX2-YW-N29, KJCX2-YW-N45]; 100 Talents Program of CASChinese Academy of Sciences; National 1000 Talents Program of China; INPAC; Shanghai Key Laboratory for Particle Physics and Cosmology; German Research Foundation DFG under Collaborative Research Center (CRC) [1044, FOR 2359]; Istituto Nazionale di Fisica Nucleare, ItalyIstituto Nazionale di Fisica Nucleare (INFN); Koninklijke Nederlandse Akademie van Wetenschappen (KNAW) [5304CDP03]; Ministry of Development of TurkeyTurkiye Cumhuriyeti Kalkinma Bakanligi [DPT2006K-120470]; Russian Foundation for Basic ResearchRussian Foundation for Basic Research (RFBR) [14-07-91152]; Swedish Research CouncilSwedish Research CouncilEuropean Commission; U.S. Department of EnergyUnited States Department of Energy (DOE) [DE-FG02-05ER41374, DE-SC-0010504, DE-SC0012069, DESC0010118]; U.S. National Science FoundationNational Science Foundation (NSF); University of Groningen (RuG); Helmholtzzentrum fuer Schwerionenforschung GmbH (GSI); Darmstadt; WCU Program of National Research Foundation of Korea [R32-2008-00010155-0]",1,1,MAY 11,2017,10.1103/PhysRevD.95.092004,
Application of SNiPER framework to BESIII physics analysis,"Xia, X (corresponding author), Shandong Univ SDU, Jinan 250100, Shandong, Peoples R China.",NSFCNational Natural Science Foundation of China (NSFC) [U1532258]; CASChinese Academy of Sciences [U1532258]; Program for New Century Excellent Talents in UniversityProgram for New Century Excellent Talents in University (NCET) [NCET-13-0342]; Shandong Natural Science Funds for Distinguished Young Scholar [JQ201402]; National Key Basic Research Program of ChinaNational Basic Research Program of China [2015CB856700],0,0,MAY,2017,10.1088/1674-1137/41/5/056202,
Physics potential of searching for 0 nu beta beta decays in JUNO,"Zhao, J (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China.",Strategic Priority Research Program of Chinese Academy of SciencesChinese Academy of Sciences [XDA10010900]; CAS Center for Excellence in Particle Physics (CCEPP); Postdoctoral Science Foundation of ChinaChina Postdoctoral Science Foundation; Chinese Academy of SciencesChinese Academy of Sciences [2015IHEPBSH101]; Program of International S&T Cooperation of MoST [2015DFG02000],18,19,MAY,2017,10.1088/1674-1137/41/5/053001,
Mass hierarchy sensitivity of medium baseline reactor neutrino experiments with multiple detectors,"Wang, HX (corresponding author), Nanjing Univ, Dept Phys, Nanjing 210093, Jiangsu, Peoples R China.","National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11390383, 11135009, 11205176, 11305193]; Youth Innovation Promotion Association CAS [2016009]; Strategic Priority Research Program of the Chinese Academy of SciencesChinese Academy of Sciences [XDA10010900]",4,5,MAY,2017,10.1016/j.nuclphysb.2017.03.002,
Naturally small Dirac neutrino mass with intermediate SU(2)(L) multiplet fields,"Han, ZL (corresponding author), Nankai Univ, Sch Phys, Tianjin 300071, Peoples R China.",National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11505062]; Special Fund of Theoretical Physics [11447117]; Fundamental Research Funds for the Central UniversitiesFundamental Research Funds for the Central Universities [2016MS133];  [NSFC-11575089],39,39,APR 28,2017,10.1007/JHEP04(2017)166,
High-scale leptogenesis with three-loop neutrino mass generation and dark matter,"Gu, PH (corresponding author), Shanghai Jiao Tong Univ, Dept Phys & Astron, 800 Dongchuan Rd, Shanghai 200240, Peoples R China.","National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11675100]; Recruitment Program for Young Professionals [15Z127060004]; Shanghai Jiao Tong University [WF220407201]; Shanghai Laboratory for Particle Physics and Cosmology [11DZ2260700]; Key Laboratory for Particle Physics, Astrophysics and Cosmology, Ministry of Education",9,9,APR 27,2017,10.1007/JHEP04(2017)159,
Search for the radiative leptonic decay D+ -> gamma e (+) nu(e),"Ablikim, M (corresponding author), Inst High Energy Phys, Beijing 100049, Peoples R China.","National Key Basic Research Program of ChinaNational Basic Research Program of China [2015CB856700]; National Natural Science Foundation of China (NSFC)National Natural Science Foundation of China (NSFC) [11125525, 11235011, 11275266, 11322544, 11335008, 11425524, 11635010]; Chinese Academy of Sciences (CAS) Large-Scale Scientific Facility ProgramChinese Academy of Sciences; CAS Center for Excellence in Particle Physics (CCEPP); Collaborative Innovation Center for Particles and Interactions (CICPI); NSFCNational Natural Science Foundation of China (NSFC) [U1232201, U1332201, U1532257, U1532258]; CASChinese Academy of Sciences [U1232201, U1332201, U1532257, U1532258, KJCX2-YW-N29, KJCX2-YW-N45, QYZDJ-SSW-SLH003]; 100 Talents Program of CASChinese Academy of Sciences; National 1000 Talents Program of China; INPAC and Shanghai Key Laboratory for Particle Physics and Cosmology; German Research Foundation DFGGerman Research Foundation (DFG) [Collaborative Research Center CRC 1044, FOR 2359]; Istituto Nazionale di Fisica Nucleare, ItalyIstituto Nazionale di Fisica Nucleare (INFN); Koninklijke Nederlandse Akademie van Wetenschappen (KNAW) [530-4CDP03]; Ministry of Development of TurkeyTurkiye Cumhuriyeti Kalkinma Bakanligi [DPT2006K-120470]; Swedish Resarch Council; U.S. Department of EnergyUnited States Department of Energy (DOE) [DE-FG02-05ER41374, DE-SC-0010504, DE-SC-0010118, DE-SC-0012069]; U.S. National Science FoundationNational Science Foundation (NSF); University of Groningen (RuG); Helmholtzzentrum fuer Schwerionenforschung GmbH (GSI), Darmstadt; WCU Program of National Research Foundation of Korea [R32-2008-000-10155-0]",5,5,APR 24,2017,10.1103/PhysRevD.95.071102,
Sigma(1/2-)* (1380) in the Lambda(+)(c) -> eta pi(+) Lambda decay,"Geng, LS (corresponding author), Beihang Univ, Sch Phys & Nucl Energy Engn, Beijing 100191, Peoples R China.; Geng, LS (corresponding author), Beihang Univ, Int Res Ctr Nuclei & Particles Cosmos, Beijing 100191, Peoples R China.; Geng, LS (corresponding author), Beihang Univ, Beijing Key Lab Adv Nucl Mat & Phys, Beijing 100191, Peoples R China.","National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11475227, 11375024, 11522539, 11505158, 11475015]; Youth Innovation Promotion Association CAS [2016367]",14,14,APR 19,2017,10.1103/PhysRevD.95.074024,
Emergence of Supersymmetric Quantum Electrodynamics,"Yao, H (corresponding author), Tsinghua Univ, Inst Adv Study, Beijing 100084, Peoples R China.; Maciejko, J (corresponding author), Univ Alberta, Dept Phys, Edmonton, AB T6G 2E1, Canada.; Maciejko, J (corresponding author), Univ Alberta, Theoret Phys Inst, Edmonton, AB T6G 2E1, Canada.; Maciejko, J (corresponding author), Canadian Inst Adv Res, Toronto, ON M5G 1Z8, Canada.",NSFC at Tsinghua University [11474175]; NSERCNatural Sciences and Engineering Research Council of Canada (NSERC) [RGPIN-2014-4608]; CRC ProgramCanada Research Chairs; CIFARCanadian Institute for Advanced Research (CIFAR); University of AlbertaUniversity of Alberta,39,39,APR 17,2017,10.1103/PhysRevLett.118.166802,
Collider phenomenology of e (-) e (-) -> W- W-,"Wang, K (corresponding author), Zhejiang Univ, Zhejiang Inst Modern Phys, Hangzhou 310027, Zhejiang, Peoples R China.","National Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11135006, 11275168, 11422544, 11075139, 11375151, 11535002]; Zhejiang University Fundamental Research Funds for the Central Universities; Zhejiang University K.P. Chao High Technology Development Foundation",7,7,APR 14,2017,10.1103/PhysRevD.95.075021,
Amplitude analysis of D-0 -> K- pi(+) pi(+) pi(-),"Ablikim, M (corresponding author), Inst High Energy Phys, Beijing 100049, Peoples R China.","National Key Basic Research Program of ChinaNational Basic Research Program of China [2015CB856700]; National Natural Science Foundation of China (NSFC)National Natural Science Foundation of China (NSFC) [11075174, 11121092, 11125525, 11235011, 11322544, 11335008, 11375221, 11425524, 11475185, 11635010]; Chinese Academy of Sciences (CAS) Large-Scale Scientific Facility ProgramChinese Academy of Sciences; NSFCNational Natural Science Foundation of China (NSFC) [11179007, U1232201, U1332201]; CASChinese Academy of Sciences [11179007, U1232201, U1332201, KJCX2-YW-N29, KJCX2-YW-N45]; 100 Talents Program of CASChinese Academy of Sciences; INPAC; Shanghai Key Laboratory for Particle Physics and Cosmology; German Research Foundation DFGGerman Research Foundation (DFG) [Collaborative Research Center CRC-044]; Istituto Nazionale di Fisica Nucleare, ItalyIstituto Nazionale di Fisica Nucleare (INFN); Ministry of Development of TurkeyTurkiye Cumhuriyeti Kalkinma Bakanligi [DPT2006K-120470]; Russian Foundation for Basic ResearchRussian Foundation for Basic Research (RFBR) [14-07-91152]; U. S. Department of EnergyUnited States Department of Energy (DOE) [DE-FG02-04ER41291, DE-G02-05ER41374, DE- FG02-94ER40823, DESC0010118]; U.S. National Science FoundationNational Science Foundation (NSF); University of Groningen (RuG); Helmholtzzentrum fuer Schwerionenforschung GmbH (GSI), Darmstadt; WCU Program of National Research Foundation of Korea [R32-2008-000-10155-0]",14,15,APR 14,2017,10.1103/PhysRevD.95.072010,
Hunting for heavy majorana neutrinos with lepton number violating signatures at LHC,"Guo, C (corresponding author), Nankai Univ, Sch Phys, Tianjin 300071, Peoples R China.","CAS Center for Excellence in Particle Physics (CCEPP) [NSFC-11575089, NSFC-11025525]",10,10,APR 11,2017,10.1007/JHEP04(2017)065,
tau mass and R-value measurements at BES,"Zheng, ZP (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China.","National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11675184, 11335008, 2015CB856705]",1,1,APR 10,2017,10.1142/S0217751X17300046,
Two-pole structure of the D-0*(2400),"Guo, FK (corresponding author), Chinese Acad Sci, Inst Theoret Phys, Key Lab Theoret Phys, Beijing 100190, Peoples R China.; Guo, FK (corresponding author), Univ Chinese Acad Sci, Sch Phys Sci, Beijing 100049, Peoples R China.","Spanish MINECOSpanish Government [27-13-463B-731, BES-2015-072049]; ESFEuropean Commission; European FEDEREuropean Commission [FIS2014-51948-C2-1-P, FIS2014-57026-REDT, SEV-2014-0398]; Generalitat ValencianaGeneralitat ValencianaEuropean CommissionGeneral Electric [PROMETEOII/2014/0068]; DFGGerman Research Foundation (DFG)European Commission; NSFCNational Natural Science Foundation of China (NSFC) [11621131001, 11647601]; DFGGerman Research Foundation (DFG)European Commission [TRR110]; CAS Key Research Program of Frontier Sciences [QYZDB-SSW-SYS013]; Thousand Talents Plan for Young Professionals",39,39,APR 10,2017,10.1016/j.physletb.2017.02.036,
Type-II Dirac semimetals in the YPd2Sn class,"Liu, K (corresponding author), Renmin Univ China, Dept Phys, Beijing 100872, Peoples R China.","National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11474356, 91421304]; Research Funds of Renmin University of China [14XNLQ03, 16XNLQ01]; Fundamental Research Funds for the Central UniversitiesFundamental Research Funds for the Central Universities",28,28,APR 10,2017,10.1103/PhysRevB.95.155112,
Measurement of the absolute branching fraction for Lambda(+)(c) -> Lambda mu(+)nu(mu),"Li, L (corresponding author), Beijing Inst Petrochem Technol, Beijing 102617, Peoples R China.","National Key Basic Research Program of ChinaNational Basic Research Program of China [2015CB856700]; National Natural Science Foundation of China (NSFC)National Natural Science Foundation of China (NSFC) [11235005, 11235011, 11305090, 11322544, 11305180, 11335008, 11425524, 11505010]; Chinese Academy of Sciences (CAS) Large-Scale Scientific Facility ProgramChinese Academy of Sciences; CAS Center for Excellence in Particle Physics (CCEPP); Collaborative Innovation Center for Particles and Interactions (CICPI); Joint Large-Scale Scientific Facility Funds of the NSFC; CASChinese Academy of Sciences [U1232201, U1332201, KJCX2-YW-N29, KJCX2-YW-N45, U1532257, U1532258]; 100 Talents Program of CASChinese Academy of Sciences; National 1000 Talents Program of China; INPAC and Shanghai Key Laboratory for Particle Physics and Cosmology; German Research Foundation DFG under Collaborative Research CenterGerman Research Foundation (DFG) [CRC 1044, FOR 2359]; Istituto Nazionale di Fisica Nucleare, ItalyIstituto Nazionale di Fisica Nucleare (INFN); Koninklijke Nederlandse Akademie van Wetenschappen (KNAW) [530-4CDP03]; Ministry of Development of TurkeyTurkiye Cumhuriyeti Kalkinma Bakanligi [DPT2006K-120470]; NSFCNational Natural Science Foundation of China (NSFC) [11275266]; Swedish Resarch Council; U.S. Department of EnergyUnited States Department of Energy (DOE) [DE-FG02-05ER41374, DE-SC-0010504, DE-SC0012069, DESC0010118]; U.S. National Science FoundationNational Science Foundation (NSF); University of Groningen (RuG); Helmholtzzentrum fuer Schwerionenforschung GmbH (GSI), Darmstadt; WCU Program of National Research Foundation of Korea [R32-2008-000-10155-0]; Beijing municipal government [KM201610017009, 2015000020124G064]",33,34,APR 10,2017,10.1016/j.physletb.2017.01.047,
Constraining the generalized uncertainty principle with the atomic weak-equivalence-principle test,"Gao, DF (corresponding author), Chinese Acad Sci, Wuhan Inst Phys & Math, State Key Lab Magnet Resonance & Atom & Mol Phys, Wuhan 430071, Peoples R China.","National Key Research Program of China [2016YFA0302002]; National Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11227803, 91536221]; Strategic Priority Research Program of the Chinese Academy of SciencesChinese Academy of Sciences [XDB21010100]",13,13,APR 6,2017,10.1103/PhysRevA.95.042106,
"Measurement of higher-order multipole amplitudes in psi(3686) -> gamma chi(c1,2) with chi(c1,2) -> gamma J/psi and search for the transition eta(c)(2S) -> gamma J/psi","Gao, Q (corresponding author), Inst High Energy Phys, Beijing 100049, Peoples R China.; Liu, ZQ (corresponding author), Johannes Gutenberg Univ Mainz, Johann Joachim Becher Weg 45, D-55099 Mainz, Germany.","National Key Basic Research Program of ChinaNational Basic Research Program of China [2015CB856700]; National Natural Science Foundation of China (NSFC)National Natural Science Foundation of China (NSFC) [11125525, 11235011, 11322544, 11335008, 11425524, 11475187, 11521505, 11575198]; Chinese Academy of Sciences (CAS) Large-Scale Scientific Facility ProgramChinese Academy of Sciences; CAS Center for Excellence in Particle Physics; Collaborative Innovation Center for Particles and Interactions; CASChinese Academy of Sciences [11179007, U1232201, U1332201, KJCX2-YW-N29, KJCX2-YW-N45]; 100 Talents Program of CASChinese Academy of Sciences; National 1000 Talents Program of China; Institute of Nuclear and Particle Physics (INPAC); Shanghai Key Laboratory for Particle Physics and Cosmology; German Research Foundation under Collaborative Research Center [CRC-1044]; Istituto Nazionale di Fisica Nucleare, ItalyIstituto Nazionale di Fisica Nucleare (INFN); Koninklijke Nederlandse Akademie van Wetenschappen [530-4CDP03]; Ministry of Development of TurkeyTurkiye Cumhuriyeti Kalkinma Bakanligi [DPT2006K-120470]; NSFCNational Natural Science Foundation of China (NSFC) [11179007, U1232201, U1332201, KJCX2-YW-N29, KJCX2-YW-N45, 11405046, U1332103]; Russian Foundation for Basic ResearchRussian Foundation for Basic Research (RFBR) [14-07-91152]; Swedish Research CouncilSwedish Research CouncilEuropean Commission; U.S. Department of EnergyUnited States Department of Energy (DOE) [DE-FG02-04ER41291, DE-FG02-05ER41374, DE-SC0012069, DESC0010118]; U.S. National Science FoundationNational Science Foundation (NSF); University of Groningen; Helmholtzzentrum fuer Schwerionenforschung GmbH, Darmstadt; World-Class University (WCU) Program of National Research Foundation of Korea [R32-2008-000-10155-0]",9,9,APR 6,2017,10.1103/PhysRevD.95.072004,
Measurement of electron antineutrino oscillation based on 1230 days of operation of the Daya Bay experiment,"An, FP (corresponding author), East China Univ Sci & Technol, Inst Modern Phys, Shanghai, Peoples R China.","Ministry of Science and Technology of ChinaMinistry of Science and Technology, China; U.S. Department of EnergyUnited States Department of Energy (DOE); Chinese Academy of SciencesChinese Academy of Sciences; Chinese Academy of Science (CAS) Center for Excellence in Particle Physics; National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC); Guangdong provincial government; Shenzhen municipal government; China Guangdong Nuclear Power Group; Key Laboratory of Particle and Radiation Imaging (Tsinghua University); Ministry of Education, Key Laboratory of Particle Physics and Particle Irradiation (Shandong University); Ministry of Education, Shanghai Laboratory for Particle Physics and Cosmology; Research Grants Council of the Hong Kong Special Administrative Region of ChinaHong Kong Research Grants Council; University Development Fund of the University of Hong KongUniversity of Hong Kong; Ministry of Education (MOE) program for Research of Excellence at National Taiwan University from Taiwan; National Chiao-Tung University from Taiwan; National Science Council (NSC) from Taiwan; U.S. National Science FoundationNational Science Foundation (NSF); Alfred P. Sloan FoundationAlfred P. Sloan Foundation; Ministry of Education, Youth, and Sports of the Czech RepublicMinistry of Education, Youth & Sports - Czech Republic; Joint Institute of Nuclear Research in Dubna, Russia; Russian Foundation for Basic Research (RFBR) research programRussian Foundation for Basic Research (RFBR); National Commission of Scientific and Technological Research of Chile; Tsinghua University Initiative Scientific Research Program",116,119,APR 6,2017,10.1103/PhysRevD.95.072006,
Melatonin protects oocyte quality from Bisphenol A-induced deterioration in the mouse,"Xiong, B (corresponding author), Nanjing Agr Univ, Coll Anim Sci & Technol, Nanjing, Peoples R China.",National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [31571545]; Natural Science Foundation of Jiangsu ProvinceNatural Science Foundation of Jiangsu Province [BK20150677],67,69,APR,2017,10.1111/jpi.12396,
Overview on BESIII Recent Results,"Xu, GF (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing, Peoples R China.",National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11175188],1,1,APR-MAY,2017,10.1016/j.nuclphysbps.2017.03.020,
Study on spectroscopic properties and effects of tungsten ions in 2Bi(2)O(3)-3GeO(2)/SiO2 glasses,"Yu, PS (corresponding author), Yancheng Inst Technol, Sch Mat Engn, Yancheng 224051, Jiangsu, Peoples R China.","National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [61422511]; Natural Science Foundation of Jiangsu Province, ChinaNatural Science Foundation of Jiangsu Province [BK20141263]",0,0,APR,2017,10.1016/j.apradiso.2017.01.015,
A carbon efficiency evaluation method for manufacturing process chain decision-making,"Jiang, ZG (corresponding author), Wuhan Univ Sci & Technol, Coll Machinery & Automat, Wuhan 430081, Peoples R China.","National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [51275365, 51675388]; National 863 Program of ChinaNational High Technology Research and Development Program of China [2014AA041504]",19,19,APR 1,2017,10.1016/j.jclepro.2017.01.159,
Fast and accurate generation method of PSF-based system matrix for PET reconstruction,"Wei, L (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China.; Wei, L (corresponding author), Beijing Engn Res Ctr Radiog Tech & Equipment, Beijing 10049, Peoples R China.",National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [81301348]; China Postdoctoral Science FoundationChina Postdoctoral Science Foundation [2015M570154],0,0,APR,2017,,
Effects of gamma irradiation on the compression and inter-laminar shear properties of G10 for the BESIII beam pipe supporting flange,"Zheng, LF (corresponding author), Univ Sci & Technol Beijing, Beijing 100083, Peoples R China.",National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [51605025]; Beijing Higher Education Young Elite Teacher Project [YETP0365]; Major Projects of the Chinese Academy of Sciences Funded Project [KJ95T-03],7,9,APR,2017,10.1016/j.fusengdes.2017.02.029,
Revisiting Zb(b)over-bar couplings in the littlest Higgs model with T parity under current experimental constraints,"Yang, BF (corresponding author), Henan Normal Univ, Coll Phys & Mat Sci, Xinxiang 453007, Peoples R China.; Han, JZ (corresponding author), Zhoukou Normal Univ, Sch Phys & Telecommun Engn, Zhoukou 466001, Henan, Peoples R China.","National Natural Science Foundation of China (NNSFC)National Natural Science Foundation of China (NSFC) [U1404113, 11405047]; Startup Foundation for Doctors of Henan Normal University [qd15207]; Aid Project for the Mainstay Young Teachers in Henan Provincial Institutions of Higher Education [2016GGJS-135]",1,1,MAR 28,2017,10.1103/PhysRevD.95.055025,
Study of J/psi and psi (3686) decay to Lambda(Lambda)over-bar and Sigma(0)(Sigma)over-tilde(0) final states,"Ablikim, M (corresponding author), Inst High Energy Phys, Beijing 100049, Peoples R China.","National Key Basic Research Program of ChinaNational Basic Research Program of China [2009CB825200, 2015CB856700]; National Natural Science Foundation of China (NSFC)National Natural Science Foundation of China (NSFC) [10905034, 10935007, 11125525, 11235011, 11322544, 11335008, 11425524]; Chinese Academy of Sciences (CAS) Large-Scale Scientific Facility ProgramChinese Academy of Sciences; CAS Center for Excellence in Particle Physics (CCEPP); Collaborative Innovation Center for Particles and Interactions (CICPI); Joint Large-Scale Scientific Facility Fund of NSFC [11179007, U1232106, U1232201, U1332201]; Natural Science Foundation of Shandong ProvinceNatural Science Foundation of Shandong Province [ZR2009AQ002]; CASChinese Academy of Sciences [KJCX2-YW-N29, KJCX2-YW-N45]; 100 Talents Program of CASChinese Academy of Sciences; National 1000 Talents Program of China; INPAC and Shanghai Key Laboratory for Particle Physics and Cosmology; German Research Foundation DFGGerman Research Foundation (DFG) [CRC-1044, FOR-2359]; Istituto Nazionale di Fisica Nucleare, ItalyIstituto Nazionale di Fisica Nucleare (INFN); Joint Funds of the National Science Foundation of China [U1232107]; Ministry of Development of TurkeyTurkiye Cumhuriyeti Kalkinma Bakanligi [DPT2006K-120470]; Russian Foundation for Basic ResearchRussian Foundation for Basic Research (RFBR) [14-07-91152]; Swedish Research CouncilSwedish Research CouncilEuropean Commission; U.S. Department of EnergyUnited States Department of Energy (DOE) [DE-FG02-04ER41291, DE-FG02-05ER41374, DE-SC0012069, DESC0010118]; U.S. National Science FoundationNational Science Foundation (NSF); University of Groningen (RuG); Helmholtzzentrum fuer Schwerionenforschung GmbH (GSI), Darmstadt; WCU Program of National Research Foundation of Korea [R32-2008-000-10155-0]; Joint Large-Scale Scientific Facility Fund of CAS [11179007, U1232106, U1232201, U1332201]",30,31,MAR 15,2017,10.1103/PhysRevD.95.052003,
Observation of Lambda(+)(c) -> nK(S)(0)pi(+),"Li, L (corresponding author), Beijing Inst Petrochem Technol, Beijing 102617, Peoples R China.","National Key Basic Research Program of ChinaNational Basic Research Program of China [2015CB856700]; National Natural Science Foundation of China (NSFC)National Natural Science Foundation of China (NSFC) [11235005, 11235011, 11275266, 11305090, 11305180, 11322544, 11335008, 11425524, 11505010]; Chinese Academy of Sciences (CAS) Large-Scale Scientific Facility ProgramChinese Academy of Sciences; CAS Center for Excellence in Particle Physics (CCEPP); Collaborative Innovation Center for Particles and Interactions (CICPI); NSFCNational Natural Science Foundation of China (NSFC) [11275266, U1232201, U1532257, U1532258]; CASChinese Academy of Sciences [U1532257, U1532258, U1332201, KJCX2-YW-N29, KJCX2-YW-N45, QYZDJ-SSW-SLH003]; 100 Talents Program of CASChinese Academy of Sciences; National 1000 Talents Program of China; INPAC and Shanghai Key Laboratory for Particle Physics and Cosmology; German Research Foundation DFGGerman Research Foundation (DFG) [CRC 1044, FOR 2359]; Istituto Nazionale di Fisica Nucleare, ItalyIstituto Nazionale di Fisica Nucleare (INFN); Koninklijke Nederlandse Akademie van Wetenschappen (KNAW) [530-4CDP03]; Ministry of Development of TurkeyTurkiye Cumhuriyeti Kalkinma Bakanligi [DPT2006K-120470]; Swedish Resarch Council; U.S. Department of EnergyUnited States Department of Energy (DOE) [DE-FG02-05ER41374, DE-SC-0010504, DE-SC0012069, DESC0010118]; U.S. National Science FoundationNational Science Foundation (NSF); University of Groningen (RuG); Helmholtzzentrum fuer Schwerionenforschung GmbH (GSI), Darmstadt; WCU Program of National Research Foundation of Korea [R32-2008-000-10155-0]; Beijing municipal government [KM201610017009, 2015000020124G064]",20,20,MAR 14,2017,10.1103/PhysRevLett.118.112001,
Discriminating cosmic muons and radioactivity using a liquid scintillation fiber detector,"Zhang, YP (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Yuquan Rd, Beijing 100049, Peoples R China.; Zhang, YP (corresponding author), Univ Chinese Acad Sci, Yuquan Rd, Beijing 100049, Peoples R China.",Strategic Priority Research Program of the Chinese Academy of SciencesChinese Academy of Sciences [XDA10010300]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11675203],1,1,MAR,2017,10.1088/1748-0221/12/03/P03015,
Development and performance of self-sealed MRPC,"Lyu, P (corresponding author), Tsinghua Univ, Minist Educ, Key Lab Particle & Radiat Imaging, Dept Engn Phys, Qinghuayuan 1, Beijing 100084, Peoples R China.","National Key Programme for S&T Research and Development [2016YFA0400100]; Ministry of Science and Technology [2015CB856905]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11420101004, 11461141011, 11275108]",4,4,MAR,2017,10.1088/1748-0221/12/03/C03055,
The weakened Weibel instability of collimated fast electron beam in nanotube array,"Zhao, R (corresponding author), Chongqing Jiaotong Univ, Sch Mat Sci & Engn, Chongqing 400074, Peoples R China.","National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [11404045, 11304407]",0,0,MAR,2017,10.1017/S0263034616000926,
Melatonin improves the fertilizationability of post-ovulatory aged mouse oocytes by stabilizing ovastacin and Juno to promote sperm binding and fusion,"Xiong, B (corresponding author), Nanjing Agr Univ, Coll Anim Sci & Technol, Nanjing 210095, Jiangsu, Peoples R China.",National Natural Science FoundationNational Natural Science Foundation of China (NSFC) [31571545]; Natural Science Foundation of Jiangsu ProvinceNatural Science Foundation of Jiangsu Province [BK20150677],43,45,MAR,2017,10.1093/humrep/dew362,
Dense pair plasma generation by two laser pulses colliding in a cylinder channel,"Ma, YY; Yu, TP (corresponding author), Natl Univ Def Technol, Coll Sci, Changsha 410073, Hunan, Peoples R China.; Ma, YY; Yu, TP (corresponding author), Shanghai Jiao Tong Univ, IFSA Collaborat Innovat Ctr, Shanghai 200240, Peoples R China.; Ma, YY (corresponding author), China Acad Engn Phys, Laser Fus Res Ctr, Mianyang 621000, Peoples R China.","National Natural Science FoundationNational Natural Science Foundation of China (NSFC) [11475260, 11305264, 11622547, 11375265, 11474360]; National Basic Research Program of ChinaNational Basic Research Program of China [2013CBA01504]; Research Project of National University of Defense Technology, China [JC14-02-02]; Science Challenge Program, China [JCKY2016212A505]",4,4,MAR,2017,10.1088/1674-1056/26/3/035202,
